zip_code_id,primary_city,county,state,state_short,country,latitude,longitude
73095,Wayne,McClain County,Oklahoma,OK,US,"34,91","-97,31"
73096,Weatherford,Custer County,Oklahoma,OK,US,"35,53","-98,68"
73097,Wheatland,Oklahoma County,Oklahoma,OK,US,"35,4","-97,64"
73098,Wynnewood,Garvin County,Oklahoma,OK,US,"34,64","-97,16"
73099,Yukon,Canadian County,Oklahoma,OK,US,"35,51","-97,76"
73101,Oklahoma City,Oklahoma County,Oklahoma,OK,US,"35,46","-97,51"
73102,Oklahoma City,Oklahoma County,Oklahoma,OK,US,"35,47","-97,52"
73103,Oklahoma City,Oklahoma County,Oklahoma,OK,US,"35,49","-97,52"
73104,Oklahoma City,Oklahoma County,Oklahoma,OK,US,"35,48","-97,5"
73105,Oklahoma City,Oklahoma County,Oklahoma,OK,US,"35,52","-97,5"
73106,Oklahoma City,Oklahoma County,Oklahoma,OK,US,"35,48","-97,54"
73107,Oklahoma City,Oklahoma County,Oklahoma,OK,US,"35,48","-97,58"
73108,Oklahoma City,Oklahoma County,Oklahoma,OK,US,"35,45","-97,57"
73109,Oklahoma City,Oklahoma County,Oklahoma,OK,US,"35,43","-97,52"
